,Job Title,Location,Post Time,Job Attributes,Job Description
15,Application Developer,santa rosa,Fri 27 Mar 10:45:05 AM,"
compensation: $91,603.20 - $111,654.40 annual salary

employment type: full-time

","

QR Code Link to This Post


The Superior Court of California, County of Sonoma is currently recruiting‬‬ for two Application Developers to join our collaborative Information‬‬ Technology team. The Application Developer role is a full time position with comprehensive medical, dental and retirement benefits. This is an ideal position for those drawn to serving the community to fulfill the Sonoma County Court’s mission, which is providing and enabling Access, Service, and Justice for our community. 

Under general direction, this position performs expert duties in development, enhancement and maintenance of highly complex applications or sub-systems of major applications and serves as overall systems architect for complex systems.

TYPICAL DUTIES: 
Designs, develops or modifies large, complex applications to meet user and business requirements; meets with users to review and determine business objectives and discuss user needs, design and technology alternatives.Defines, analyzes and documents user requirements and works with users to define system/project scope.Determines project scope and plan and evaluates difficulties and risks to estimate project timeline; develops and writes specifications; diagrams procedures, process flows and prototypes for management approval.Develops and/or modifies computer systems to meet user requirements; coordinates system implementation with users and other applications development staff; prepares system documentation.Performs programming and coding for systems and court internet/intranet websites; designs menus, screens scripts and report formats, makes coding changes.Defines application data requirements; identifies data sources; diagrams data flow and data entity relationships; develops module definitions, data models and logical database designs; designs and develops applications databases, including file/table structures.Analyzes systems bridging requirements for accessing and using data; maintains and updates applications data dictionary; tests data validity, redundancy and integrity; develops and uses query tools to generate reports; performs maintenance, performance tuning and recovery on databases.Designs scenarios for unit, systems and interface testing; plans and executes system conversion and installation processes for complex applications which may involve on-line systems and applications which entail critical business processing deadline, up-time and data integrity risks in the event of problems; designs and implements disaster recovery plans.Creates, modifies and provides backend support for the court's Internet/Intranet websites.Provides user support for web-based applications; ability to quickly troubleshoot and resolve problems.Coordinates work of other information technology staff related to application development process.Performs other court-related duties as assigned.
MINIMUM QUALIFICATIONS:

Any combination of education and experience that would likely provide the required knowledge, skills and abilities is qualifying. A typical way to obtain the knowledge, skills and abilities would be the equivalent of: 

Education: Graduation from an accredited four-year college or university with a major in computer science, information systems, information technology, or a closely related field combined and      

Experience: Two years of experience building, implementing, and maintaining new systems and conducting business process analysis. Experience in translating functional and business requirements into design, development, installation and maintenance of computer applications in conformance with business and technical requirements is highly desirable. 

Possess The Ability To:

Apply systems integration design concepts as they relate to applications design and development.</liMulti-task and able to move seamlessly between projects, Internet and intranet technologies.Apply relational database theory, design rules and development practices, including data modeling, data flow and entity relationship analysis, data structure analysis and data access methods.Plan, organize and complete projects efficiently and effectively to meet stakeholders requirements.Troubleshoot and diagnose problems; make the appropriate repairs to resolve them.Prepare clear, concise and accurate reports and other written materials.Communicate clearly and effectively orally and in writing to both technical and non-technical audiences.Exercise sound independent judgment within general policy guidelines.</liKeep technical skills current to meet continuing development assignments.Work collaboratively as a team member or leader to ensure project accountability.Use tact and diplomacy when dealing with sensitive, complex and/or confidential issues and situations.Establish and maintain highly effective, customer-focused working relationships with court managers, court staff and others encountered in the course of work.
Knowledge Of: 
Principles and methods of systems analysis, including business process and entity relationship analysis tools and methods.Systems design principles and applications development methodologies and tools, including those applicable to client server, traditional procedural and object oriented programming and design.Project management tools and techniques, including preparation and management of detailed project schedules and metrics and change management and control.Software development, maintenance tools and utilities applicable to position responsibilities. (Visual Studio, XMLSPY)Programming theory and programming languages used in Court applications (C#, ASP.NET, XML, XSLT).Experience in Development of Service Oriented Applications which can send asynchronous message data from one endpoint to another.Operating system capabilities and constraints applicable to information systems.Source Control Methodologies. (Team Foundation Server. GitHub)Knowledge of Messaging Queue and WCF principles.Software development and maintenance tools and utilities.Standard PC software packages including word processing, spreadsheets and database.Database management systems and software as they affect applications design.
Other Requirements: Possession of a valid Class C California driver's license.

PROCESS TO APPLY:

Please apply online at: http://sonoma.courts.ca.gov/info/jobs

APPLICATION SUBMISSIONS REQUIRE THE SUPPLEMENTAL QUESTIONNAIRE BE COMPLETED.

The selection procedure will consist of an application with supplemental questionnaire screening and a panel interview process. When you apply, please list all employers and positions held within the last ten years in the work history section of the application and be as thorough as possible when responding to the supplemental questions. You may include history beyond ten years if related to the position. Each application and supplemental questionnaire will be thoroughly evaluated for satisfaction of minimum qualifications and relevance of educational coursework, training, experience, and knowledge and abilities which relate to the position. Candidates possessing the most appropriate job-related qualifications will be invited to an interview.

Accommodation: Applicants with a disability who may require special assistance in any step of the selection process should advise Human Resources by contacting us at 707-521-6789 upon submittal of application. 

The Sonoma County Superior Court is an Equal Opportunity Employer 
"
16,Excel/Visual Basic guru needed,Berkeley,Fri 27 Mar 09:24:39 AM,"
compensation: Please quote an hourly rate

employment type: contract

telecommuting okay

","

QR Code Link to This Post


We need a ExcelVBA Guru for a custom 

1. Develop a UI/Widgets on Excel
2. Write VBA Macros to perform text/numeric analysis
3. Quick iterations on prototyping

Requirements:

1. Excellent communication and documentation skills
2. 5+ years of Excel/VBA experience
"
17,Senior Business Systems Analyst (SharePoint),downtown / civic / van ness,Thu 26 Mar 02:30:28 PM,"
compensation: Commensurate with education and experience, W-2, 1099, or C2C, must be in US without sponsorship

employment type: contract

","

QR Code Link to This Post


Sierra Cybernetics is seeking a Senior Business Systems Analyst to work for us at our government client’s site in downtown San Francisco.  You will be responsible for maintenance and support, cloud migration activities, and new projects supporting our client’s specialized SAP SharePoint site.  

You should have experience creating business and technical requirements documents and project plans; reviewing and updating functional specifications and test scripts for new technology deployments; providing support for third-party vendors and business partners; and performing maintenance and operations support. 

You will also be responsible for the review and analysis of technology requests for new and existing interfaces for the SharePoint site and for identifying issues related to the development and maintenance of information technology systems that support our client’s business functions at our client’s site. You will ensure that the SharePoint Site has current content; users have appropriate access as needed and all users are proficient and effectively using the SharePoint site.

This assignment is expected to last 1 – 2 years or more.

Minimum Job-Specific Skills/Qualifications Required (in order of relative importance):
Candidates shall demonstrate a proven track-record in:
1.	5 - 7 years’ experience as a Senior Business Systems Analyst and/or Project Manager.
2.	Principles of business systems analysis, configuration, integration, reporting, and queries; 
3.	Principles and best business practices of group facilitation and building consensus;
4.	Principles and techniques for the Software Development Life Cycle (SDLC) and SAP’s Implementation Life Cycle; 
5.	Principles and techniques of analyzing and documenting all product life cycle artifacts such as: functional business requirements, business cases, project charters, communication plans, test plans, detailed functional specifications; 
6.	Project management methods, tools, and techniques; 
7.	Business systems with multiple modules and business functional areas; 
8.	Advanced business process modeling; 
9.	Integrated system quality assurance methodologies; 
10.	Principles and techniques of creating project resource estimates and budgets; 
11.	Basic procurement processes including the creation of RFP, SOW, evaluation methodologies, contracts, and procurement documentation; 
12.	Basic networking technologies and data structures; 
13.	Principles of Web design and best practices for Web content management, tools and technologies, connectivity issues, browser issues; 
14.	Basic principles of relational databases and database reporting tools; 
15.	Principles and techniques of preparing a variety of effective written materials and oral presentations; 
16.	Best practices and emerging technologies in assigned area;
17.	Customer Service principles;
18.	Experienced with MS Office applications including Word, Excel, Project, and Visio;
19.	Knowledge of digital government and digital government strategies;
20.	Ability to identify and evaluate alternative solutions, costs and benefits;
21.	Ability to communicate effectively in English, orally and in writing.

Additional Skills/Qualifications Desired:
•	Experience working as an SAP Business Systems Analyst.
•	Recent experience within government agencies or public bodies with projects of a similar type.
•	Practical experience as a Senior Business Systems Analyst and/or Project Manager.
•	Project Management Professional (PMP) Certification.
•	Contract management for information technology products and services.    "
18,IT Project Manager and Senior Business Systems Analyst,downtown / civic / van ness,Thu 26 Mar 02:30:06 PM,"
compensation: Commensurate with education and experience, W-2, 1099, or C2C, must be in US without sponsorship

employment type: contract

","

QR Code Link to This Post


Sierra Cybernetics is seeking an IT PM and Senior BSA with technical project management experience, with a proven track-record of working in the government/civic tech space to work for us at our government Superior Court client’s site in downtown San Francisco.

You will be expected to provide technical project management to support a cross-Divisional team of subject-matter experts, web developers, and third-party vendors to design, build and launch a new Web portal to deliver high-performing digital services to Self-Represented Litigants (SRLs) throughout California.

You will be under the direction of our client’s management and staff and will provide needed expertise in leading digital service initiatives, focused on technical project management around multi-site Web content management deployments.

This assignment is expected to last 1 – 2 years or more.

Minimum Job-Specific Skills/Qualifications Required (in order of relative importance):
1.	Proven track record in providing technical project management, risk assessment, and agile delivery.
2.	Proven track record in delivery of on-time, on-budget projects with a high degree of user satisfaction and quality.
3.	Proven track record implementing varying principles and techniques of project management, including the ability to develop and track complex project plans, manage risks, manage scope, and manage resources.
4.	Experience applying technical project management skills to website or web application redesigns.
5.	Experience applying technical project management skills to implementation, configuration, and roll-out of Web Content Management Systems.
6.	Knowledge of principles of web design, UX design, and product development. 
7.	Proven track record of managing complex relationships among stakeholders on a project which has significant executive oversight.  
8.	Proven track record of building coalitions among various stakeholders using excellent conflict resolution skills, where needed.
9.	Experienced at establishing and maintaining effective working relationships.
10.	Experienced with the principles of full life cycle systems design, development, testing, and deployment.
11.	Experienced with providing clear goals, responsibilities, and providing measurable performance and feedback.
12.	Excellent analytical capabilities and the ability to breakdown complex ideas into manageable pieces.
13.	Excellent written and verbal communication skills, with both technical and non-technical audiences, including creating and presenting executive summaries to steering committees and other executive level leadership.
14.	Experienced with MS Office applications including Word, Excel, Project, and Visio.
15.	Knowledge of digital government and digital government strategies 
16.	Ability to identify and evaluate alternative solutions, costs and benefits.
17.	Ability to communicate effectively in English, orally and in writing.

Additional Skills/Qualifications Desired:
•	Recent experience within government agencies or public bodies with projects of a similar type.
•	Certified project manager (PMP) with agile/scrum training and certification    "
19,Mapping Annotation Operator | $30 - $36 per hour,Los Altos,Thu 26 Mar 10:26:56 AM,"
compensation: $30 - $36 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/6ed8cde8/apply


HireArt is looking to hire a Map Annotation Operator to work on-site at Toyota Research Institute’s (TRI) Los Altos location on a contract basis. In this role, you'll work with Autonomous Driving Localization and Mapping teams to develop accurate, scalable, and semantic maps of the world.The Toyota Research Institute (TRI) is an R&D enterprise designed to bridge the gap between fundamental research and product development. It has been launched with mandates to (1) enhance the safety of automobiles, with the ultimate goal of creating a car that is incapable of causing a crash; (2) increase access to cars to those who otherwise cannot drive, including those with disabilities and the elderly; (3) help translate outdoor mobility technology into products for indoor mobility; and (4) accelerate scientific discovery by applying techniques from artificial intelligence and machine learning.  Toyota believes artificial intelligence has significant potential to improve the quality of life for all people, bringing ease, comfort and safety to all aspects of life.TRI's Autonomous Driving Localization and Mapping team is developing accurate, scalable, and semantic maps of the world. We are looking for motivated individuals with a passion for autonomous vehicle technology to join the Mapping Annotation Operations Team. Mapping Annotation Operators will be responsible for creating and maintaining high definition maps for autonomous vehicles. Responsibilities: 
Use in-house tools for annotating and labeling maps, images, and other assets
Be self-motivated and demonstrate good judgement that requires minimal supervision throughout the work day in order to thrive in a fast paced, high stress environments
Use internal tools for managing progress of labeling for various assets
Report and document issues with tools and labeled assets to mapping team lead
Provide feedback for improvements to existing tooling that can increase annotation throughput and quality
Have the ability to travel outside the primary location of hire
Build high definition maps with proprietary software
Develop and improve operational pipeline
Communicate and collaborate effectively with different teams 
Develop and train operators on new tools and workflows


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/6ed8cde8/apply


Requirements

Bachelor’s degree or equivalent experience 
Excellent verbal and written communication skills
Ability to learn quickly and implement new concepts
Proficient computer skills, including basic troubleshooting with the ability to utilize proprietary tools
Preferred, not required
Experience using python, terminal scripts, and git
Commitment: This is a full-time (40 hours per week), 12-month contract position through HireArt and based in Los Altos, CA. Domestic and international travel may be required. HireArt provides Equal Employment Opportunity without regard to the applicant's race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/6ed8cde8/apply


About Toyota
At Toyota Research Institute (TRI), we’re working to build a future where everyone has the freedom to move, engage, and explore with a focus on reducing vehicle collisions, injuries, and fatalities. Join us in our mission to improve the quality of human life through advances in artificial intelligence, automated driving, robotics and materials science. We’re dedicated to building a world of “mobility for all” where everyone, regardless of age or ability, can live in harmony with technology to enjoy a better life. Through innovations in AI, we’ll...● Develop vehicles incapable of causing a crash, regardless of the actions of the driver.● Develop technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility.● Bring advanced mobility technology to market faster.● Discover new materials that will make drive batteries and hydrogen fuel cells smaller, lighter, less expensive and more powerful.Our work is guided by a dedication to safety – in how we research, develop, and validate the performance of vehicle technology to benefit society. As a subsidiary of Toyota, TRI is fueled by a diverse and inclusive community of people who carry invaluable leadership, experience, and ideas from industry-leading companies. Over half of our technical team carries PhD degrees. We’re continually searching for the world’s best talent ‒ people who are ready to define the new world of mobility with us!We strive to build a company that helps our people thrive, achieve work life balance, and bring their best selves to work. At TRI, you will have the opportunity to enjoy the best of both worlds ‒ a fun start up environment with brilliant people who enjoy solving tough problems and the financial backing to successfully achieve our goals. If you’re passionate about working with smart people to make cars safer, enable the elderly to age in place, or design alternative fuel sources, TRI is the place for you. ‒ Start your impossible with us. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/6ed8cde8/apply

 "
20,Vehicle Operations Specialist | Toyota Research Institute,los altos,Thu 26 Mar 10:26:54 AM,"
compensation: Competitive

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/4a480260/apply


HireArt is looking to hire a Vehicle Operations Specialist to work at Toyota Research Institute’s (TRI) Los Altos location on a contract basis. We're seeking motivated individuals with a passion for technology to join the Driving Operations Team. You'll be responsible for TRI’s autonomous vehicle platforms on various public and private roads obtaining data and fixing technical issues. As a specialist within Driving Operations, you're a valuable contributor, providing necessary feedback to the engineering team aimed at improving groundbreaking automated driving technology.Toyota Research Institute (TRI) is working to build a future where everyone has the freedom to move, engage, and explore with a focus on reducing vehicle collisions, injuries, and fatalities. Join TRI’s mission to improve the quality of human life through advances in artificial intelligence, automated driving, robotics and materials science. TRI is dedicated to building a world of “mobility for all” where everyone, regardless of age or ability, can live in harmony with technology to enjoy a better life. Through innovations in AI, TRI aims to: 1) Develop vehicles incapable of causing a crash, regardless of the actions of the driver. 2) Develop technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility. 3) Bring advanced mobility technology to market faster. 4) Discover new materials that will make drive batteries and hydrogen fuel cells smaller, lighter, less expensive and more powerful.As a subsidiary of Toyota, TRI is fueled by a diverse and inclusive community of people who carry invaluable leadership, experience, and ideas from industry-leading companies. Over half of the technical team carries PhD degrees, and TRI is continually searching for the world’s best talent ‒ people who are ready to define the new world of mobility!TRI strives  to build a company that helps people thrive, achieve work life balance, and bring their best selves to work. You will have the opportunity to enjoy the best of both worlds ‒ a fun start up environment with brilliant people who enjoy solving tough problems and the financial backing to successfully achieve our goals. If you’re passionate about working with smart people to make cars safer, enable the elderly to age in place, or design alternative fuel sources, TRI is the place for you. Responsibilities: 
Maintain Toyota's high standard of safety, inside and outside of the vehicles.
Consistently demonstrate situational awareness, an understanding of the technology in your care, and a willingness to constantly adjust to changes in the environment. 
Conduct a variety of critical data collection for engineering teams using complex proprietary software and hardware, and communicate through multiple channels.
Be self-motivated and demonstrate good judgement that requires minimal supervision throughout the work day in order to thrive in fast paced, high stress environments.
Be an ambassador for the technology by communicating professionally and courteously at all times with management, engineers, and members of the public. 
Demonstrate leadership skills and provide training and mentorship to inexperienced drivers.
Maintain, organize and distribute operational documents to relevant team members.
You will be offsite and out of office, with occasional extended travel time - as the project dictates.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/4a480260/apply


Requirements

Bachelor’s degree or equivalent experience
1+ years of Autonomous Driving experience
Valid US driver's license, a clean driving record, and 7+ years of driving experience  
Able to demonstrate safe driving in all weather conditions, including snow
Excellent verbal and written communication skills
Ability to learn quickly and implement new concepts
Proficient computer skills, including basic troubleshooting with the ability to utilize proprietary tools
Type 50+ words per minute
Ability to travel for work/project needs
Working Conditions: Due to the nature of the position and daily inspections of the vehicle, this job often requires physical work including, but not limited to,  bending, stooping, and various operational tasks that may require lifting up to 50 lbs.  Additionally, the Vehicle Operations Specialist should expect to spend approximately four to six hours inside the vehicle on a daily basis.Commitment: This is a full-time (40 hours per week with possible overtime), ongoing, long-term contract position staffed via HireArt and based in Los Altos, CA. Compensation is hourly and paid training is provided. An offer of employment is contingent upon successful completion of the initial training. Occasional extended travel time may be required. HireArt provides Equal Employment Opportunity without regard to the applicant's race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/4a480260/apply

 "
21,"Engineering Manager, IXL Mobile",san mateo,Wed 25 Mar 04:02:33 PM,"
compensation: Competitive salary and benefits

employment type: full-time

","

QR Code Link to This Post


IXL Learning, a leading edtech company with products used by 8 million students worldwide, is seeking an Engineering Manager to lead its mobile development. The IXL Mobile team is responsible for one of the best educational apps on the market today, available on both iOS and Android platforms.

As a key leader and manager of the Mobile team, you will participate directly in software design and engineering, help develop the team by mentoring and coaching, and create processes that ensure productivity and efficiency. At IXL, we find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.

International candidates encouraged to apply; H1B sponsorship is available.

WHAT YOU'LL BE DOING

Lead and mentor a team of talented mobile engineers, both to start projects from scratch as well as to work with existing code base
Drive the development process for your team, including design, coding, documentation, testing, debugging, and tuning
Coordinate with project managers, designers, and QA to facilitate clear communication and provide excellent direction and motivation to the team
Ship successful iOS and Android applications
Provide accurate estimates, evaluate feasibility, and assess new platforms and technologies for application technology and architecture
Collaborate and communicate clearly across multiple development teams to design and release amazing applications
Participate in recruiting top software engineers to join our team

WHAT WE'RE LOOKING FOR

Bachelor's or advanced degree in computer science or a related discipline
5+ years of experience in software engineering and 2+ years leadership experience
Experience recruiting, sourcing and building a top performing mobile team
Expert level skills in iOS and/or Android development

ABOUT IXL

IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 400,000 teachers deliver personalized instruction, and empower over 8 million students to achieve new learning milestones every day.
Click here to apply"
22,"Software Engineer, IXL Product",san mateo,Wed 25 Mar 03:59:44 PM,"
compensation: Competitive salary and benefits

employment type: full-time

","

QR Code Link to This Post


IXL Learning, a leading edtech company with products used by 8 million students worldwide, is seeking Software Engineers with a passion for technology and education to help us build new, innovative products and create more features for our extremely successful educational products.

The IXL Product Engineering team develops the user-facing features of the website and the back-end code that connects these features to our databases and other services. We created and maintain the practice engine, where students answer the questions created by the Content team; Analytics, which turns practice data into actionable information for teachers; the Recommendations area, which suggests skills for students to try next; and much more. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.

International candidates encouraged to apply; H1B sponsorship is available.

WHAT YOU'LL BE DOING

As a Software Engineer on the IXL Product Engineering team, you will build the back-end wiring, application logic, and UI that drive the site. You will find and use the best technologies to add features to our products as well as to create new products. You’ll be involved in all aspects of the development process – including design, coding, testing, debugging, and tuning. In addition to working with your fellow engineers, you’ll collaborate with other teams to design amazing products that meet the needs of our users, who are students and teachers all over the world. 

TECHNOLOGY

Our server-side stack includes Linux, Apache, Java, and Oracle. The front-end code is written in JavaScript, often using React.

WHAT WE'RE LOOKING FOR

1+ years of experience in software engineering
Bachelor's or advanced degree in computer science or a related discipline
A solid grasp of general programming principles
Excellent programming skills in Java or other object-oriented language
Ability to work both independently and with a wide variety of teams
Knowledge of Unix, Java, SQL, JavaScript, CSS, or source control is a plus
Passion for improving education through technology

ABOUT IXL

IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 400,000 teachers deliver personalized instruction, and empower over 8 million students to achieve new learning milestones every day.
Click here to apply"
23,"Software Engineer, Core Technology",san mateo,Wed 25 Mar 03:58:15 PM,"
compensation: Competitive salary and benefits

employment type: full-time

","

QR Code Link to This Post


IXL Learning, a leading edtech company with products used by 8 million students worldwide, is seeking Software Engineers who have a passion for technology and education to help us build and maintain the core infrastructure for our extremely successful educational products.

The Core Technology team is responsible for researching, implementing, and maintaining back-end frameworks and server-side technologies used by our engineers and applications. The team also monitors and ensures all production and development environments are stable and provides support to other team members with the whole development cycle. Source control, the build and runtime system, as well as deployments, are all responsibilities of the Core Technology team.

As a Software Engineer on our Core Technology team, you’ll work closely with our product teams and have visibility to all parts of our code and products, focusing on performance, uptime, scalability, and reliability. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.

International candidates encouraged to apply; H1B sponsorship is available.

WHAT YOU'LL BE DOING

Design, build, and maintain scalable and robust infrastructure and services for all of our products
Participate in live performance monitoring, which includes building the tools that allow us to detect and address trouble spots
Troubleshoot and fix production performance and security issues
Develop tools, procedures, and documentation to improve team efficiency


TECHNOLOGY

The Core Technology team contributes to our Java-based code base, especially for back-end code, as well as configuring our web stack (Apache, Tomcat, Struts, Hibernate). Our servers run RedHat Linux and some amount of administration is done on the systems. We use a variety of storage technologies, which we configure and run, including Cassandra, Oracle, Redis, S3, and Zookeeper. Python and Perl scripting are used extensively for our build and deployment systems. An ever-increasing portion of our infrastructure is moving to EC2. So, AWS technologies are also utilized. We use Jenkins and crontab for CI. We investigate and implement new technologies all the time, and this list is always growing.

WHAT WE'RE LOOKING FOR

Bachelor's or advanced degree in computer science or a related discipline
2+ years of experience in software engineering
Knowledge of Release Management
Excellent programming skills
Strong analytical-reasoning and problem-solving skills
Ability to work both independently and with a wide variety of teams
Passion for improving education through technology

ABOUT IXL

IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 400,000 teachers deliver personalized instruction, and empower over 8 million students to achieve new learning milestones every day.
Click here to apply"
24,"Software Engineer - Full-Stack, IXL Business Platform",san mateo,Wed 25 Mar 03:57:12 PM,"
compensation: Competitive salary and benefits

employment type: full-time

","

QR Code Link to This Post


IXL Learning, a leading edtech company with products used by 8 million students worldwide, is seeking Full-Stack Software Engineers who have a passion for technology and education to help us add new features to our extremely successful educational products and build new, innovative products.

The Business Platform team is responsible for code and tools needed to support our subscription-based business model. IXL's customer and support teams rely on the business platform daily as they work with customers. Our team is responsible for core user data, as well as account and product access provisioning. To support these goals, we build out integrations with databases and other systems used by our largest customers. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.

International candidates encouraged to apply; H1B sponsorship is available.

WHAT YOU'LL BE DOING

As a Full-Stack Software Engineer, you will build the back-end wiring, application logic, and UI that drive the site. You will find and use the best technologies to add features to our products, as well as to create new products. You’ll be involved in all aspects of the development process and contribute to the entire code base – including design, coding, testing, debugging, and tuning. In addition to working with your fellow engineers, you’ll collaborate with other teams to design amazing products that meet the needs of our users, who are students and teachers all over the world.

TECHNOLOGY

Our server-side stack currently includes Linux, Apache, Java, Scala, Python, and Oracle. Inside browsers, we use a fair amount of JavaScript and CSS. Of course, the specific technologies and languages you use will vary by project and according to your own interests or specialization areas.

WHAT WE'RE LOOKING FOR

1+ years of experience in software engineering
Bachelor's or advanced degree in computer science or a related discipline
A solid grasp of general programming principles
Excellent programming skills in Java or other object-oriented language
Ability to work both independently and with a wide variety of teams
Knowledge of Unix, Java, SQL, JavaScript, CSS, or source control is a plus
Passion for improving education through technology

ABOUT IXL

IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 400,000 teachers deliver personalized instruction, and empower over 8 million students to achieve new learning milestones every day.
Click here to apply"
25,"Software Engineer - Android, IXL Mobile",san mateo,Wed 25 Mar 03:56:09 PM,"
compensation: Competitive salary and benefits

employment type: full-time

","

QR Code Link to This Post


IXL Learning, a leading edtech company with products used by 8 million students worldwide, is seeking highly motivated Android Engineers who will lead in the creation of a breakthrough user experience by developing the primary features of our Android applications. The IXL Mobile team is small, collaborative, and passionate about researching and implementing the best in mobile engineering.

As a Software Engineer on the IXL Mobile team, you will manage the full technical life-cycle of building features, fixing bugs, and improving our technology. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.

International candidates encouraged to apply; H1B sponsorship is available.

WHAT YOU'LL BE DOING

Research and adapt functionality to leverage existing Android design patterns
Work across disciplines with team members representing product, content, and web development
New feature development, testing, maintenance of existing features, and bug fixes


WHAT WE'RE LOOKING FOR

2+ years of software engineering
Bachelor's or advanced degree in computer science or a related discipline
Knowledge of Android app development
Familiarity with back-end development
A good understanding of managing limited resources (memory, network, CPU) efficiently
Strong analytical-reasoning and problem-solving skills
Ability to collaborate in a small team
Passion for improving education through technology

ABOUT IXL

IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 400,000 teachers deliver personalized instruction, and empower over 8 million students to achieve new learning milestones every day.
Click here to apply"
26,"Front-End Software Engineer, IXL Product",san mateo,Wed 25 Mar 03:55:00 PM,"
compensation: Competitive salary and benefits

employment type: full-time

","

QR Code Link to This Post


IXL Learning, a leading edtech company with products used by 8 million students worldwide, is seeking Front-End Engineers to provide the face of the IXL product.

The IXL Product Engineering team develops the user-facing features of the website and the back-end code that connects these features to our databases and other services. We created and maintain the practice engine, where students answer the questions created by the Content team; Analytics, which turns practice data into actionable information for teachers; the Recommendations area, which suggests skills for students to try next; and much more.
You will utilize cutting-edge technologies like React to bring dynamic, user-facing components to life. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team. At IXL, we believe that building a creative and engaging user experience is invaluable to our mission of improving education through technology. 

International candidates encouraged to apply; H1B sponsorship is available.

WHAT YOU'LL BE DOING

Take control of the whole front-end development process from code design to implementation
Collaborate with product managers to build a world-class user experience
Tackle tough design challenges to create reusable user interfaces while writing clean, scalable code
Engineer the front-end architecture that powers our web application
Discover new technologies and establish best practices as the front-end landscape evolves


WHAT WE'RE LOOKING FOR

1+ years of experience in software engineering
Bachelor's or advanced degree in computer science or a related discipline
Expertise in HTML, CSS, JavaScript
Familiarity with at least one JavaScript library or framework (e.g., React, Angular, Ember)
Passion for new technologies, current trends, and best practices in front-end architecture, including performance, accessibility, security, and usability
Enthusiasm for improving education through technology

ABOUT IXL

IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 400,000 teachers deliver personalized instruction, and empower over 8 million students to achieve new learning milestones every day.
Click here to apply"
